       dd/mm/yy     HR:MIN:SEC    dwnl[Mbits]     upl[Mbits]       ping[ms]
     19/01/2021       19:21:11         50.109         52.317          2.787
     19/01/2021       19:26:33         63.373         44.024           2.63
     19/01/2021       19:31:54         65.144         76.772          3.405
     19/01/2021       19:37:15          37.66         70.509          2.847
     19/01/2021       19:42:37         67.868         77.042         12.867
     19/01/2021       19:48:00         29.583         74.268          2.325
     19/01/2021       19:53:22         60.108         76.221          3.072
     19/01/2021       19:58:43         37.323         66.151          4.414
     19/01/2021       20:04:05         59.193         72.676          2.436
     19/01/2021       20:09:26          31.16         73.199          4.474
     19/01/2021       20:14:48         55.483         72.579          3.378
     19/01/2021       20:20:09         59.985         78.507          3.164
     19/01/2021       20:25:31         37.503         70.753          3.239
     19/01/2021       20:30:53         54.234         75.938          5.017
     19/01/2021       20:36:15         57.125         71.678          7.709
     19/01/2021       20:41:37          37.23         72.841          6.419
     19/01/2021       20:46:59         40.468         69.732          3.877
     19/01/2021       20:52:20         31.535         65.269          3.197
     19/01/2021       20:57:42          42.73         58.915          2.799
     19/01/2021       21:03:03         31.249         72.904          2.465
     19/01/2021       21:08:25           50.0         70.393          2.201
     19/01/2021       21:13:44         38.359         67.281          2.538
     19/01/2021       21:19:06           52.8         59.396          3.481
     19/01/2021       21:24:27         54.546         68.045          7.635
     19/01/2021       21:29:49         20.769         40.827          5.063
     19/01/2021       21:35:11         46.083         73.683          2.259
     19/01/2021       21:40:32         43.766         70.726          3.565
     19/01/2021       21:45:53         16.213         35.818          2.982
     19/01/2021       21:51:15         39.698         58.497          3.105
     19/01/2021       21:56:38         26.712          41.97          3.408
     19/01/2021       22:01:59         44.599         69.307           4.64
     19/01/2021       22:07:20         38.943         46.489          3.018
     19/01/2021       22:12:42         69.633         66.157          2.237
     19/01/2021       22:18:03         67.698         67.026           2.58
     19/01/2021       22:23:24         39.307         59.457          3.559
     19/01/2021       23:30:39         40.418         77.418          3.821
     19/01/2021       23:36:01          29.83         68.388          3.065
     19/01/2021       23:41:22         35.097         68.281          3.804
     19/01/2021       23:46:43         49.825         61.324          2.657
     19/01/2021       23:52:05         47.303          0.052           4.39
     20/01/2021       12:03:29         45.308         44.492          3.446
     20/01/2021       12:08:51        165.484         72.805          4.161
     20/01/2021       12:14:12        201.092        145.903          3.912
     20/01/2021       12:19:31        169.217         72.013          3.959
     20/01/2021       12:24:52        201.557        148.748           3.54
