       dd/mm/yy     HR:MIN:SEC    dwnl[Mbits]     upl[Mbits]       ping[ms]
     27/01/2021       21:42:28        116.382        155.197          3.292
     27/01/2021       21:42:47        115.541        155.522          3.303
     27/01/2021       21:43:06        113.179        161.974          3.143
     27/01/2021       21:43:24        112.479        164.409          3.092
     27/01/2021       21:43:43        118.649        164.341          3.743
     27/01/2021       21:44:01        118.171        167.415          3.243
     27/01/2021       21:44:20        121.836        160.554          3.226
     27/01/2021       21:44:38        116.013        158.973          3.508
     27/01/2021       21:44:57        118.712        170.382          3.199
     27/01/2021       21:45:15        114.483        158.916          3.332
     27/01/2021       21:45:34        100.329        157.618           3.37
     27/01/2021       21:45:52        115.448        160.822          3.397
     27/01/2021       21:46:11         118.72        164.492          2.961
     27/01/2021       21:46:30        121.114        164.455          3.078
     27/01/2021       21:46:48        122.442        181.073           3.05
     27/01/2021       21:47:06        105.339        154.394          2.874
     27/01/2021       21:47:25        125.445         179.73          3.087
     27/01/2021       21:47:43         121.76        181.376          2.946
     27/01/2021       21:48:00        109.294        146.214          3.038
     27/01/2021       21:48:20         122.04        152.227          3.123
     27/01/2021       21:48:39        122.644        154.886          3.029
     27/01/2021       21:48:57        120.336          160.5          3.778
     27/01/2021       21:49:16        118.644        162.263          3.122
     27/01/2021       21:49:35         124.09        171.372          2.965
     27/01/2021       21:49:53        120.364        161.706          3.208
     27/01/2021       21:50:11        122.813        170.572          2.878
     27/01/2021       21:50:30        120.525        167.518          3.112
     27/01/2021       21:50:48        118.374        161.447          3.236
     27/01/2021       21:51:07        123.484        167.104          3.155
     27/01/2021       21:51:25        122.602        164.626          2.772
     27/01/2021       21:51:43         119.41        165.804          3.295
     27/01/2021       21:52:02        121.495        162.419          3.391
     27/01/2021       21:52:20        106.055        164.676          3.094
     27/01/2021       21:52:39          122.4        166.491          2.974
     27/01/2021       21:52:57        122.265        161.113          3.071
     27/01/2021       21:53:16        122.587        171.249          3.248
     27/01/2021       21:53:34        103.637        168.853          2.855
     27/01/2021       21:53:52        117.519        161.613          3.177
     27/01/2021       21:54:11        116.778        163.405          3.437
     27/01/2021       21:54:29        117.257        167.469          3.483
     27/01/2021       21:54:47        116.454        165.068          3.313
     27/01/2021       21:55:06        120.825        162.531          2.938
     27/01/2021       21:55:24        119.469        170.093           3.11
     27/01/2021       21:55:43        119.513        162.053          3.296
     27/01/2021       21:56:01        118.273        161.612          3.308
     27/01/2021       21:56:20        120.988        172.867            3.1
     27/01/2021       21:56:38        116.434        163.508          3.961
     27/01/2021       21:56:56        114.808        164.215          3.378
     27/01/2021       21:57:15        120.376        164.488          2.928
