       dd/mm/yy     HR:MIN:SEC    dwnl[Mbits]     upl[Mbits]       ping[ms]
     27/01/2021       21:37:21         27.958         43.653          2.491
     27/01/2021       21:37:43         21.473         35.793        131.114
     27/01/2021       21:38:09         32.571         48.301          4.655
     27/01/2021       21:38:31         32.873          48.24          2.733
     27/01/2021       21:38:53         29.218         58.238          2.826
     27/01/2021       21:39:14          32.23         50.272          3.012
     27/01/2021       21:39:35         31.494         48.132          2.775
     27/01/2021       21:39:56         33.804         46.431          2.815
     27/01/2021       21:40:18         30.384         56.475          3.042
     27/01/2021       21:40:39         32.025         49.096          3.292
     27/01/2021       21:41:00         29.746            0.0          2.959
